Label,betweenesscentrality,degree,bridgingcentrality
BAKON_529,69.466878,298,0.222119
BAKON_306,423.665769,302,1.144118
BAKON_282,45.55094,299,0.148332
BAKON_605,3.553343,298,0.011979
BAKON_317,761.502305,305,1.877725
BAKON_025,292.51985,304,0.786517
BAKON_191,93.046458,301,0.289318
BAKON_284,109.521957,300,0.34282
BAKON_616,231.554926,301,0.64602
BAKON_392,196.663005,304,0.564709
BAKON_350,47.211643,294,0.160043
BAKON_351,2.641377,295,0.00911
BAKON_261,2.712573,286,0.009946
BAKON_612,378.996204,293,1.086767
BAKON_062,321.424075,303,0.842337
BAKON_013,498.041849,284,1.338278
BAKON_473,68.092442,205,0.436002
BAKON_156,271.400689,304,0.745975
BAKON_055,106.651345,302,0.321405
BAKON_204,703.686785,304,1.632558
BAKON_379,235.440593,302,0.643064
BAKON_190,294.475676,302,0.79979
BAKON_213,159.31537,246,0.708465
BAKON_303,471.255417,303,1.237959
BAKON_250,61.997151,297,0.202538
BAKON_398,424.864488,305,1.102418
BAKON_442,563.130145,299,1.503612
BAKON_542,272.513765,302,0.730564
BAKON_407,80.18408,298,0.256125
BAKON_361,2449.09927,307,5.004605
BAKON_226,853.239754,289,2.625292
BAKON_083,681.046716,306,1.592779
BAKON_196,568.497292,303,1.37566
BAKON_237,291.88002,297,0.789733
BAKON_538,171.527259,297,0.519462
BAKON_471,700.206869,302,1.725347
BAKON_266,211.44858,300,0.59752
BAKON_571,456.419345,300,1.20509
BAKON_036,362.521039,254,1.281173
BAKON_385,296.855467,289,0.913611
BAKON_126,611.859213,290,1.443671
BAKON_015,159.083134,26,6.722367
BAKON_293,668.914396,165,5.865094
BAKON_599,16.144407,16,1.688784
BAKON_592,41.529331,20,3.331291
BAKON_560,48.601532,19,4.049333
BAKON_453,46.458468,18,3.951505
BAKON_428,94.229326,19,6.651888
BAKON_336,42.779197,17,3.915274
BAKON_275,226.417275,31,7.377509
BAKON_177,182.726125,28,7.411348
BAKON_101,48.290879,17,4.172827
BAKON_096,188.282786,28,6.497247
BAKON_081,200.583824,28,7.772095
BAKON_054,112.706014,28,5.578028
BAKON_045,64.62641,22,4.393256
BAKON_016,0,5,0
BAKON_561,164.023134,37,5.116176
BAKON_544,84.079273,32,3.449644
BAKON_479,139.256681,31,4.844497
BAKON_475,175.775411,34,5.12832
BAKON_424,107.943618,25,5.492511
BAKON_404,44.52625,28,2.049379
BAKON_397,104.995222,36,3.372442
BAKON_396,104.360047,36,3.351635
BAKON_388,14.250409,25,0.819087
BAKON_372,161.307515,34,4.592837
BAKON_365,31.900311,24,1.818545
BAKON_354,152.589738,33,5.106073
BAKON_325,114.844828,31,4.253261
BAKON_315,118.321952,31,4.48836
BAKON_311,62.557456,28,2.752012
BAKON_292,186.612972,27,7.696039
BAKON_257,113.747974,29,4.711974
BAKON_242,61.149174,27,2.55408
BAKON_233,68.06499,29,2.81932
BAKON_056,136.18241,38,4.372214
BAKON_576,278.51955,51,5.245925
BAKON_554,398.758135,56,6.075688
BAKON_550,57.533741,44,1.354038
BAKON_518,187.575919,60,3.436158
BAKON_513,150.35169,59,2.813337
BAKON_511,137.611607,58,2.629935
BAKON_505,116.219262,55,2.370857
BAKON_491,214.793967,54,4.019399
BAKON_476,258.257731,53,4.336976
BAKON_472,340.928211,56,5.215878
BAKON_436,407.157843,51,7.18331
BAKON_411,107.014331,46,2.65584
BAKON_391,334.822043,57,5.948496
BAKON_375,338.25416,55,5.603793
BAKON_371,137.504648,45,3.222866
BAKON_362,159.013891,47,3.769031
BAKON_334,112.280699,47,2.763535
BAKON_313,230.004299,54,3.959874
BAKON_310,312.803157,57,4.904456
BAKON_294,88.34789,44,2.189453
BAKON_290,25.946291,43,0.706516
BAKON_289,128.222994,46,2.900074
BAKON_285,69.193947,45,1.726309
BAKON_271,266.440197,53,4.912223
BAKON_255,250.213585,50,5.111023
BAKON_209,676.564588,57,8.650946
BAKON_179,357.900598,58,5.636594
BAKON_171,206.005305,51,3.798235
BAKON_143,329.762637,55,5.702029
BAKON_139,14.875418,44,0.410275
BAKON_138,241.022676,54,4.234654
BAKON_135,63.385271,49,1.439849
BAKON_123,201.188832,54,3.445168
BAKON_122,136.766528,53,2.496941
BAKON_118,0,42,0
BAKON_100,103.308667,47,2.30809
BAKON_098,398.219863,55,5.652614
BAKON_094,315.577835,56,4.695468
BAKON_079,221.310257,53,4.099279
BAKON_074,207.322211,53,2.800562
BAKON_072,313.252758,54,4.001095
BAKON_051,82.962581,45,2.137214
