Label,bridgingcentrality,betweenesscentrality,degree
BAKON_092,0.861161,4.29462,9
BAKON_093,0.101249,0.419166,8
BAKON_097,23.76542,90.75314,6
BAKON_099,10.30616,30.273963,5
BAKON_100,0,0,3
BAKON_105,0,0,3
BAKON_106,0,0,3
BAKON_113,0,0,2
BAKON_114,0,0,2
BAKON_124,0.022741,0.1,11
BAKON_128,1.97319,16.65313,14
BAKON_129,1.97319,16.65313,14
BAKON_132,1.97319,16.65313,14
BAKON_134,1.990581,15.065637,13
BAKON_136,0.640629,2.308767,9
BAKON_139,0,0,5
BAKON_141,0,0,5
BAKON_144,0.022065,0.134483,11
BAKON_145,0.022065,0.134483,11
BAKON_146,0.022065,0.134483,11
BAKON_147,0.022065,0.134483,11
BAKON_148,0.022065,0.134483,11
BAKON_149,0.022065,0.134483,11
BAKON_158,4.008591,24.438589,13
BAKON_163,6.594314,40.187627,9
BAKON_164,7.253816,37.735326,8
BAKON_165,0,0,3
BAKON_175,0,0,9
BAKON_176,0,0,9
BAKON_177,2.701346,24.998218,13
BAKON_179,3.392598,35.201892,14
BAKON_180,3.392598,35.201892,14
BAKON_181,3.392598,35.201892,14
BAKON_183,7.664553,127.373739,18
BAKON_184,4.360315,44.189626,15
BAKON_186,4.801093,69.412088,18
BAKON_190,17.723036,384.098054,19
BAKON_192,8.574104,122.865061,16
BAKON_195,8.530034,81.697867,13
BAKON_197,9.589488,57.644387,10
BAKON_198,9.237211,46.918714,9
BAKON_200,0,0,5
BAKON_450,9.655997,41.321187,7
BAKON_307,7.288551,70.574209,13
BAKON_206,0.384055,2.004189,10
BAKON_207,0.384055,2.004189,10
BAKON_213,11.993055,158.77277,15
BAKON_214,5.994303,36.601332,9
BAKON_215,5.994303,36.601332,9
BAKON_216,0,0,4
BAKON_598,18.657373,112.786083,10
BAKON_462,11.303837,116.900401,12
BAKON_402,10.00627,256.869691,22
BAKON_392,17.768313,327.121265,20
BAKON_381,13.506992,183.852912,16
BAKON_355,7.030796,34.663954,8
BAKON_231,9.584976,113.0021,12
BAKON_233,6.492739,24.00381,6
BAKON_236,0.561107,1.547498,5
BAKON_237,0,0,4
BAKON_254,3.947969,30.590103,10
BAKON_257,3.947969,30.590103,10
BAKON_259,3.947969,30.590103,10
BAKON_261,3.294049,18.208673,8
BAKON_262,0,0,6
BAKON_263,0,0,6
BAKON_266,2.035805,6.985011,10
BAKON_268,0,0,9
BAKON_270,1.385345,9.388718,13
BAKON_279,4.462128,45.884832,13
BAKON_280,4.462128,45.884832,13
BAKON_281,4.706985,31.054603,10
BAKON_282,4.706985,31.054603,10
BAKON_284,1.527147,5.956781,7
BAKON_285,0,0,6
BAKON_308,2.301865,13.555658,11
BAKON_309,2.301865,13.555658,11
BAKON_312,1.615022,12.731928,13
BAKON_314,1.615022,12.731928,13
BAKON_316,1.615022,12.731928,13
BAKON_318,5.725635,72.27502,16
BAKON_321,2.246154,7.113201,8
BAKON_322,2.246154,7.113201,8
BAKON_326,1.023356,8.736079,10
BAKON_329,0.123835,0.25,5
BAKON_334,0,0,4
BAKON_354,21.951863,174.076401,8
BAKON_356,1.895919,6.53606,6
BAKON_357,1.895919,6.53606,6
BAKON_361,0,0,5
BAKON_561,20.123678,65.002676,4
BAKON_379,4.070887,23.711225,13
BAKON_380,4.070887,23.711225,13
BAKON_384,2.890142,17.377863,11
BAKON_388,0,0,5
BAKON_395,4.728586,28.373352,14
BAKON_399,5.944326,63.016173,17
BAKON_404,7.708927,93.382599,15
BAKON_406,3.965258,32.855379,12
BAKON_410,4.400064,27.66029,10
BAKON_413,0,0,4
BAKON_426,2.68761,4.681838,5
BAKON_428,1.851065,2.083948,4
BAKON_434,0,0,3
BAKON_435,0,0,3
BAKON_444,0,0,3
BAKON_445,0,0,3
BAKON_453,2.175045,4.618004,5
BAKON_454,2.175045,4.618004,5
BAKON_463,0,0,5
BAKON_467,4.104331,38.447158,14
BAKON_468,0,0,11
BAKON_469,0,0,11
BAKON_473,1.831577,20.502014,17
BAKON_477,0.891326,6.80788,14
